source,filename,old_label,old_status,old_engine,old_score,old_evidence,new_label,new_status,new_score,new_runner_up_score,new_layer,new_evidence,changed
/Users/billcipher/Documents/Ma trận đề KT giữa HK1-VL12.docx,Ma trận đề KT giữa HK1-VL12,Toan,subject,filename,22.5,filename:ma tran x1=22.5,_Khong_xac_dinh,unknown,10.62,0.0,accentless,accentless:ma tran x1=10.6,True
"/Users/billcipher/Documents/ONLY MA TRẬN, BẢNG ĐẶC TẢ E 12 GHKI 25-26 THỦY AV.docx","ONLY MA TRẬN, BẢNG ĐẶC TẢ E 12 GHKI 25-26 THỦY AV",Toan,subject,filename,22.5,filename:ma tran x1=22.5,_Khong_xac_dinh,unknown,10.62,0.0,accentless,accentless:ma tran x1=10.6,True
